srn,manufacturer,mandateType,manufacturer_country,mandate_holder_chrn,mandate_holder_name,mandate_holder_uid
US-MF-000018093,"Affera, Inc.",MF,US,CHRN-AR-20001029,Medtronic (Schweiz) AG,CHE105847257
US-MF-000018098,OriGen Biomedical Inc.,MF,US,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
US-MF-000018166,A&E Medical Corporation,MF,US,CHRN-AR-20001391,Zimmer GmbH,CHE111746251
US-MF-000018222,American Eagle Instruments LLC,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000018223,STERIS Corporation,MF,US,CHRN-AR-20001449,STERIS GmbH,CHE110139338
US-MF-000018306,Heraeus Medical Components LLC,MF,US,CHRN-AR-20000308,ACCUMED SAGL,CHE382017853
US-MF-000018334,Extremity Medical LLC,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000018337,Incipio Devices LLC,MF,US,CHRN-AR-20001870,Incipio Devices SA,CHE114777153
US-MF-000018343,"Solta Medical, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000018363,ROHO Inc.,MF,US,CHRN-AR-20002534,Permobil AG,CHE104856466
US-MF-000018365,"Micromedics, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000018366,Temrex Corporation,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000018367,"Stealth Products, LLC.",MF,US,CHRN-AR-20010239,Sodimed SA,CHE135544560
US-MF-000018493,Integra Pain Management ,MF,US,CHRN-AR-20001538,ILS Services Schweiz AG,CHE113223573
US-MF-000018624,Smooth-Bor Plastics,MF,US,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
US-MF-000018632,Philips Image Guided Therapy Corporation,MF,US,CHRN-AR-20001770,Philips AG,CHE105936079
US-MF-000018705,"ADVANCED VISION SCIENCE, INC.",MF,US,CHRN-AR-20001600,Medilas AG,CHE108045604
US-MF-000018743,Barco Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000018898,"Catheter Precision, Inc",MF,US,CHRN-AR-20000730,MedNet Swiss GmbH,CHE423085096
US-MF-000019023,"Nihon Kohden OrangeMed, LLC",MF,US,CHRN-AR-20000675,Leuag AG,CHE106004416
US-MF-000019061,"Dale Medical Products, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000019080,Black Pearl Vision,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000019138,"Smith & Nephew, Inc.",MF,US,CHRN-AR-20000316,Smith & Nephew Schweiz AG,CHE112109058
US-MF-000019222,Microtek Medical Inc.,MF,US,CHRN-AR-20001352,Ecolab (Schweiz) GmbH,CHE110221508
US-MF-000019246,"Globus Medical, Inc.",MF,US,CHRN-AR-20001796,"AJW Technology Consulting GmbH, Düsseldorf, Zweigniederlassung Zürich",CHE171663901
US-MF-000019271,"Arthrex, Inc",MF,US,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
US-MF-000019308,Zymo Research Corp.,MF,US,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
US-MF-000019453,AdDent Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000019567,Otto Bock HealthCare LP,MF,US,CHRN-AR-20002002,Otto Bock (Schweiz) AG,CHE108678554
US-MF-000019594,Terumo Medical Corporation,MF,US,CHRN-AR-20001345,"Terumo Deutschland GmbH, Eschborn, Zweigniederlassung Spreitenbach",CHE113968816
US-MF-000019796,"Micro Therapeutics Inc, d/b/a Ev3 Neurovascular",MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000019828,"Professional Products, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000019976,"HeartWare, Inc.",MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000019977,"Medtronic, Inc.",MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000019982,Given Imaging Inc.,MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000019985,Medtronic CoreValve LLC,MF,US,CHRN-AR-20001029,Medtronic (Schweiz) AG,CHE105847257
US-MF-000020031,Cordis US Corp.,MF,US,CHRN-AR-20001469,Cordis Medical GmbH,CHE356922918
US-MF-000020067,Katena Products Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000020094,Volcano Corporation,MF,US,CHRN-AR-20001770,Philips AG,CHE105936079
US-MF-000020203,"Mycone Dental Supply Co. Inc., t/a Keystone Industries",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000020408,Bionix LLC,MF,US,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
US-MF-000020415,Terumo Cardiovascular Systems Corporation,MF,US,CHRN-AR-20001345,"Terumo Deutschland GmbH, Eschborn, Zweigniederlassung Spreitenbach",CHE113968816
US-MF-000020559,"TP Orthodontics, Inc.",MF,US,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
US-MF-000020669,Spectranetics Corporation,MF,US,CHRN-AR-20001770,Philips AG,CHE105936079
US-MF-000020690,OTU MEDICAL INC.,MF,US,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
US-MF-000020711,Intuitive Surgical,MF,US,CHRN-AR-20000886,Intuitive Surgical Sàrl,CHE113407162
US-MF-000020712,Bio-Rad Laboratories Inc.,MF,US,CHRN-AR-20003051,DiaMed GmbH,CHE101071167
US-MF-000020713,Bio-Rad Laboratories Inc.,MF,US,CHRN-AR-20003051,DiaMed GmbH,CHE101071167
US-MF-000020721,"Draeger Medical Systems, Inc.",MF,US,CHRN-AR-20000335,Dräger Schweiz AG,CHE105927413
US-MF-000020729,"HeartFlow, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000020746,MIVI Neuroscience Inc.,MF,US,CHRN-AR-20003754,Sciade Medical SA,CHE201392815
US-MF-000020921,Immucor GTI Diagnostics Inc.,MF,US,CHRN-AR-20001403,Decomplix AG,CHE150315179
US-MF-000021065,Zirc Dental Products Inc.,MF,US,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
US-MF-000021368,miraDry Inc,MF,US,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
US-MF-000021386,ZOLL Medical Corporation,MF,US,CHRN-AR-20000990,ZOLL Medical Switzerland AG,CHE390563922
US-MF-000021393,DSM Biomedical,MF,US,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
US-MF-000021429,"Den-Mat Holdings, LLC",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000021431,"RadScan Medical Equipment, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000021541,Sun Nuclear Corporation,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000021544,American Diagnostic Corporation,MF,US,CHRN-AR-20002165,Medlife SA,CHE107507269
US-MF-000021615,Facet Technologies LLC,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000021617,Hemanext Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000021620," Fujirebio Diagnostics, Inc.",MF,US,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
US-MF-000021643,"Sirona Dental, Inc.",MF,US,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
US-MF-000021651,"Abaxis, Inc.",MF,US,CHRN-AR-20000652,The Tao of Excellence GmbH,CHE492682283
US-MF-000021674,Alltrista Plastics LLC,MF,US,CHRN-AR-20003172,Axon Lab AG,CHE106066788
US-MF-000021683,Henry Schein Inc.,MF,US,CHRN-AR-20010456,ABC Dental AG,CHE104815071
US-MF-000021684,DeVilbiss Healthcare LLC,MF,US,CHRN-AR-20001306,ALBO Healthcare GmbH,CHE115819481
US-MF-000021763,"Prosidyan, Inc.",MF,US,CHRN-AR-20001458,Synthes GmbH,CHE107288802
US-MF-000021852,AST VisionCare Inc.,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000021910,"NuSmile, Ltd.",MF,US,CHRN-AR-20002834,FTC Frey Trading & Consulting Sàrl,CHE112583342
US-MF-000021911,Cambridge Interventional LLC,MF,US,CHRN-AR-20001324,MCM Schaublin AG,CHE103645837
US-MF-000021912,"Amalgam Rx, Inc.",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000021988,Nova Biomedical Corporation [EN],MF,US,CHRN-AR-20002754,Nova Biomedical Schweiz GmbH,CHE278056111
US-MF-000022041,"VentureMed Group, Inc.",MF,US,CHRN-AR-20000730,MedNet Swiss GmbH,CHE423085096
US-MF-000022068,BioArray Solutions Ltd.,MF,US,CHRN-AR-20001403,Decomplix AG,CHE150315179
US-MF-000022069,The Argen Corporation,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000022159,Varex Imaging Corporation,MF,US,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
US-MF-000022208,"Sakura Finetek USA, Inc",MF,US,CHRN-AR-20000730,MedNet Swiss GmbH,CHE423085096
US-MF-000022223,"Gambro UF Solutions, Inc.",MF,US,CHRN-AR-20010056,Vantive Health GmbH,CHE173645274
US-MF-000022306,"DCI International, LLC",MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000022341,"Leica Microsystems NC, Inc.",MF,US,CHRN-AR-20001376,Leica Microsystems (Schweiz) AG,CHE106832287
US-MF-000022592,Dentsply LLC,MF,US,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
US-MF-000022721,"EntroGen, Inc.",MF,US,CHRN-AR-20003331,BÜHLMANN Laboratories AG,CHE107878027
US-MF-000022750,Candela Corporation,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000022759,"Qapel Medical, Inc.",MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000022828,Intelligent Endoscopy LLC,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000022872,Verathon Inc.,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000022888,Vortex Surgical Inc.,MF,US,CHRN-AR-20001588,Oertli-Instrumente AG,CHE107260301
US-MF-000022925,"Laborie Medical Technologies, Corp.",MF,US,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
US-MF-000023084,"Restorative Therapies, Inc.",MF,US,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
US-MF-000023092,"In2Bones, USA",MF,US,CHRN-AR-20001214,CONMED Switzerland GmbH,CHE247824340
US-MF-000023095,"Medtronic Sofamor Danek USA, Inc.",MF,US,CHRN-AR-20001029,Medtronic (Schweiz) AG,CHE105847257
US-MF-000023100,Medtronic MINIMED,MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000023106,"Medtronic Navigation, Inc.",MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000023203,Spectranetics Corporation,MF,US,CHRN-AR-20001770,Philips AG,CHE105936079
US-MF-000023244,Paragon Medical,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000023263,Medtronic Navigation Inc.,MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000023264,Medtronic Xomed Inc,MF,US,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
US-MF-000023270,Medtronic Powered Surgical Solutions,MF,US,CHRN-AR-20001029,Medtronic (Schweiz) AG,CHE105847257
US-MF-000023272,"Fractyl Health, Inc.",MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000023277,Indica Labs Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000023316,"Medtronic, Inc.",MF,US,CHRN-AR-20001029,Medtronic (Schweiz) AG,CHE105847257
US-MF-000023322,"AMO Manufacturing USA, LLC",MF,US,CHRN-AR-20002188,AMO Switzerland GmbH,CHE109570557
US-MF-000023455,JenaValve Technology Inc.,MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000023456,"ARCH American Prosthetic Components, LLC",MF,US,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
US-MF-000023483,Glooko Inc,MF,US,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
US-MF-000023583,Abbott Laboratories,MF,US,CHRN-AR-20002840,Abbott AG,CHE106918983
US-MF-000023660,Teleflex Medical Inc.,MF,US,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
US-MF-000023790,PATHCOM SYSTEMS CORPORATION,MF,US,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
